1.collectionobject.catalogNumber,1.collectionobject.projectNumber,"1,9-determinations,4.taxon.Life","1,9-determinations,4.taxon.Kingdom","1,9-determinations,4.taxon.Phylum","1,9-determinations,4.taxon.Class","1,9-determinations,4.taxon.Order","1,9-determinations,4.taxon.Suborder","1,9-determinations,4.taxon.Infraorder","1,9-determinations,4.taxon.Superfamily","1,9-determinations,4.taxon.Family","1,9-determinations,4.taxon.Subfamily","1,9-determinations,4.taxon.Tribe","1,9-determinations,4.taxon.Genus","1,9-determinations,4.taxon.Subgenus","1,9-determinations,4.taxon.Species","1,9-determinations,4.taxon.Subspecies","1,9-determinations,4.taxon.fullName","1,10,2,3.geography.Continent","1,10,2,3.geography.Country","1,10,2,3.geography.State","1,10,2,3.geography.County","1,10,2,3.geography.fullName","1,10,2.locality.localityName","1,10,2.locality.latitude1","1,10,2.locality.longitude1","1,10.collectingevent.startDate","1,10.collectingevent.endDate"
ZMB_Orth_BA000001S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Romaleidae,Romaleinae,Diponthini,Diponthus,,dispar,,"Diponthus dispar Gerstaecker, 1873",South America,Brazil,,,"Brazil, South America",Allegrette [Alegrete],,,,
ZMB_Orth_BA000002S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Romaleidae,Romaleinae,Diponthini,Diponthus,,porphyreum,,"Diponthus porphyreum (Gerstaecker, 1873)",South America,Brazil,,,"Brazil, South America",Brazil,,,,
ZMB_Orth_BA000003S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Romaleidae,Romaleinae,Diponthini,Diponthus,,virgatus,,"Diponthus virgatus (Gerstaecker, 1873)",South America,Brazil,São Paulo,,"São Paulo, Brazil, South America",Salto Grande [at Paranapanema River],-22.9000000000,-49.9833333333,,
ZMB_Orth_BA000004S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Catantopinae,,Perakia,,maculipennis,,"Perakia maculipennis Ramme, 1930",Asia,Indonesia,Sumatera [Sumatra],,"Sumatera [Sumatra], Indonesia, Asia",Soekaranda,,,,
ZMB_Orth_BA000005S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Catantopinae,,Perakia,,mindanaensis,,"Perakia mindanaensis Ramme, 1930",Asia,Philippines,Mindanao,,"Mindanao, Philippines, Asia",Mindanao,8.0000000000,125.0000000000,,
ZMB_Orth_BA000006S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Catantopinae,,Perakia,,striatipennis,,"Perakia striatipennis Ramme, 1930",Asia,Indonesia,Sumatera [Sumatra],,"Sumatera [Sumatra], Indonesia, Asia",Soekaranda,,,,
ZMB_Orth_BA000007S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Lentulidae,Lentulinae,,Mecostibus,,sublaevis,,"Mecostibus sublaevis Karsch, 1896",Africa,Tanzania,,,"Tanzania, Africa",Lake Tanganyika,,,,
ZMB_Orth_BA000007S02,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Lentulidae,Lentulinae,,Mecostibus,,sublaevis,,"Mecostibus sublaevis Karsch, 1896",Africa,Tanzania,,,"Tanzania, Africa",Lake Tanganyika,,,,
ZMB_Orth_BA000008S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Lentulidae,Lentulinae,,Mecostiboides,,physalus,,"Mecostiboides physalus Karsch, 1896",Africa,Tanzania,Tanga province,,"Tanga province, Tanzania, Africa",Buloa near Tanga,-5.0666666667,39.1000000000,,
ZMB_Orth_BA000008S02,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Lentulidae,Lentulinae,,Mecostiboides,,physalus,,"Mecostiboides physalus Karsch, 1896",Africa,Tanzania,Tanga province,,"Tanga province, Tanzania, Africa",Buloa near Tanga,-5.0666666667,39.1000000000,,
ZMB_Orth_BA000009S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Lentulidae,Shelforditinae,,Shelfordites,,aberrans,,"Shelfordites aberrans Karny, 1910",Africa,Namibia,South Hereroland,,"South Hereroland, Namibia, Africa",South Hereroland,,,01.09.1903,30.09.1903
ZMB_Orth_BA000010S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Lentulidae,Lentulinae,,Mecostibus,,minor,,"Mecostibus minor Bruner, 1910",Africa,,,,Africa,Patta Island,,,16.02.1903,
ZMB_Orth_BA000011S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Catantopinae,,Pseudohysiella,,inermis,,"Pseudohysiella inermis (Karsch, 1896)",Africa,Madagascar,,,"Madagascar, Africa",Madagascar,,,,
ZMB_Orth_BA000012S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Hemiacridinae,,Euthymia,,melanocerca,,"Euthymia melanocerca Stal, 1875",Africa,Madagascar,,,"Madagascar, Africa",Madagascar,,,,
ZMB_Orth_BA000013S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Hemiacridinae,Hemiacridini,Hemiacris,,helenae,,"Hemiacris helenae (Ramme, 1929)",Africa,Cameroon,Centre-Sud,,"Centre-Sud, Cameroon, Africa",Jaunde [= Yaoundé],3.8666666667,11.5166666667,01.01.1897,31.12.1897
ZMB_Orth_BA000014S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Hemiacridinae,Hemiacridini,Hemiacris,,azurea,,"Hemiacris azurea Sjostedt, 1931",Africa,,,,Africa,Musana,,,,
ZMB_Orth_BA000015S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Hemiacridinae,Hemiacridini,Hemiacris,,sudanicus,,"Hemiacris sudanicus Ramme, 1929",,,,,Earth,Hassi-Hadad,,,01.05.1929,10.05.1929
ZMB_Orth_BA000015S02,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Hemiacridinae,Hemiacridini,Hemiacris,,sudanicus,,"Hemiacris sudanicus Ramme, 1929",,,,,Earth,Hassi-Hadad,,,01.05.1929,10.05.1929
ZMB_Orth_BA000016S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Hemiacridinae,Hemiacridini,Pristocorypha,,latruncularia,,"Pristocorypha latruncularia Karsch, 1896",Africa,Cameroon,Southeast Cameroon,,"Southeast Cameroon, Cameroon, Africa",Lolodorf,,,,
ZMB_Orth_BA000017S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Hemiacridinae,Hemiacridini,Pristocorypha,,corneola,,"Pristocorypha corneola Karsch, 1896",Africa,Tanzania,Zanzibar,,"Zanzibar, Tanzania, Africa",Sansibar [= Zanzibar],-6.1666666667,39.1666666667,,
ZMB_Orth_BA000018S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Catantopinae,,Guineacris,,cercata,,"Guineacris cercata Ramme, 1941",Oceania,Papua New Guinea,Madang Dist.,,"Madang Dist., Papua New Guinea, Oceania",Stephansort [= now Bogadjilm ?],-5.3833333333,145.7166666667,,
ZMB_Orth_BA000019S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Pamphagoidea,Pyrgomorphidae,Orthacridinae,Verduliini,Meubelia,,gracilis,,"Meubelia gracilis Willemse, 1932",Asia,Philippines,Siargao Island,,"Siargao Island, Philippines, Asia",Siargao Island,9.8833333333,126.0333333333,,
ZMB_Orth_BA000019S02,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Pamphagoidea,Pyrgomorphidae,Orthacridinae,Verduliini,Meubelia,,gracilis,,"Meubelia gracilis Willemse, 1932",Asia,Philippines,Siargao Island,,"Siargao Island, Philippines, Asia",Siargao Island,9.8833333333,126.0333333333,,
ZMB_Orth_BA000020S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Lentulidae,Lentulinae,,Lentula,,obtusifrons,,"Lentula obtusifrons Stal, 1878",Africa,South Africa,Natal,,"Natal, South Africa, Africa",Pietermaritzburg,-29.6166666667,30.2666666667,,
ZMB_Orth_BA000021S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Lentulidae,Lentulinae,,Paralentula,,mecostiboides,,"Paralentula mecostiboides (Ramme, 1929)",Africa,South Africa,Transvaal,,"Transvaal, South Africa, Africa",Transvaal,,,,
ZMB_Orth_BA000022S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Lentulidae,Lentulinae,,Altiusambilla,,modicicrus,,"Altiusambilla modicicrus (Karsch, 1896)",Africa,Tanzania,Kilimanjaro,,"Kilimanjaro, Tanzania, Africa",Kilimandjaro,-3.0666666667,37.3666666667,,
ZMB_Orth_BA000023S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Lentulidae,Lentulinae,,Usambilla,,turgidicrus,turgidicrus,"Usambilla turgidicrus turgidicrus (Karsch, 1896)",Africa,Kenya,Eastern,,"Eastern, Kenya, Africa",Kitui,-1.3666666667,38.0166666667,,
ZMB_Orth_BA000024S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Lentulidae,Lentulinae,,Chromousambilla,,latestriata,,"Chromousambilla latestriata (Ramme, 1929)",Africa,Tanzania,Ukimbu,,"Ukimbu, Tanzania, Africa",Nkila,,,20.03.1899,21.03.1899
ZMB_Orth_BA000025S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Lentulidae,Lentulinae,,Usambilla,,sagonai,sagonai,"Usambilla sagonai sagonai (Ramme, 1929)",Africa,Democratic Republic of the Congo,,,"Democratic Republic of the Congo, Africa",Lakes region,,,,
ZMB_Orth_BA000026S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Lentulidae,Lentulinae,,Eremidium,,equuleus,,"Eremidium equuleus Karsch, 1896",Africa,South Africa,Pondoland,,"Pondoland, South Africa, Africa",Pondoland,,,,
ZMB_Orth_BA000027S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Lentulidae,Lentulinae,,Eremidium,,obtusus,,"Eremidium obtusus Dirsh, 1956",Africa,South Africa,Cape Prov.,,"Cape Prov., South Africa, Africa","Stormsrivier, Tzitzikama Forest",,,11.01.1951,13.01.1951
ZMB_Orth_BA000028S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Catantopinae,,Ixalidium,,transiens,,"Ixalidium transiens Ramme, 1929",Africa,Tanzania,Tanga,,"Tanga, Tanzania, Africa","Usambara, Nguelo",,,,
ZMB_Orth_BA000028S02,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Catantopinae,,Ixalidium,,transiens,,"Ixalidium transiens Ramme, 1929",Africa,Tanzania,Tanga,,"Tanga, Tanzania, Africa","Usambara, Nguelo",,,,
ZMB_Orth_BA000029S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Oxyinae,,Pterotiltus,,berlandi,,"Pterotiltus berlandi Ramme, 1929",Africa,,,,Africa,River San Benito,,,01.01.1885,31.12.1885
ZMB_Orth_BA000030S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Oxyinae,,Pterotiltus,,femoratus,,"Pterotiltus femoratus Ramme, 1929",Africa,Cameroon,Sud-Ouest,,"Sud-Ouest, Cameroon, Africa",Moliwe near Victoria (Vorwerk Wirmannshöhe),4.0166666667,9.2000000000,10.07.1907,20.07.1907
ZMB_Orth_BA000031S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Oxyinae,,Pterotiltus,,minimus,,"Pterotiltus minimus Ramme, 1929",Africa,Cameroon,Nord-Ouest,,"Nord-Ouest, Cameroon, Africa",Bamenda,5.9333333333,10.1666666667,,
ZMB_Orth_BA000032S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Oxyinae,,Pterotiltus,,occipitalis,,"Pterotiltus occipitalis (Ramme, 1929)",Africa,Cameroon,Centre-Sud,,"Centre-Sud, Cameroon, Africa",Jaunde [= Yaoundé],3.8666666667,11.5166666667,01.06.1897,30.06.1897
ZMB_Orth_BA000033S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Oxyinae,,Digentia,,fasciata,,"Digentia fasciata Ramme, 1929",Africa,Cameroon,Southeast Cameroon,,"Southeast Cameroon, Cameroon, Africa",Lolodorf,,,,
ZMB_Orth_BA000033S02,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Oxyinae,,Digentia,,fasciata,,"Digentia fasciata Ramme, 1929",Africa,Cameroon,Centre-Sud,,"Centre-Sud, Cameroon, Africa",Jaunde Station [= Yaoundé],3.8666666667,11.5166666667,13.03.1897,
ZMB_Orth_BA000034S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Oxyinae,Oxyini,Paracranae,,madagassa,,Paracranae madagassa Ramme,Africa,Madagascar,Northeast Madagascar,,"Northeast Madagascar, Madagascar, Africa",Bay of Antongil,,,,
ZMB_Orth_BA000035S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Oxyinae,Oxyini,Cranae,,rufipes,,"Cranae rufipes Ramme, 1941",Oceania,Papua New Guinea,,,"Papua New Guinea, Oceania",Papua New Guinea,,,,
ZMB_Orth_BA000035S02,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Oxyinae,Oxyini,Cranae,,rufipes,,"Cranae rufipes Ramme, 1941",Oceania,Papua New Guinea,,,"Papua New Guinea, Oceania",Papua New Guinea,,,,
ZMB_Orth_BA000036S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Oxyinae,Oxyini,Cranae,,kuekenthali,kuekenthali,"Cranae kuekenthali kuekenthali Brunner v. W., 1898",Asia,Indonesia,Maluku [Moluccas],,"Maluku [Moluccas], Indonesia, Asia",Halmahera,1.8333333333,127.8333333333,01.01.1894,31.12.1894
ZMB_Orth_BA000036S02,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Oxyinae,Oxyini,Cranae,,kuekenthali,kuekenthali,"Cranae kuekenthali kuekenthali Brunner v. W., 1898",Asia,Indonesia,Maluku [Moluccas],,"Maluku [Moluccas], Indonesia, Asia",Halmahera,1.8333333333,127.8333333333,01.01.1894,31.12.1894
ZMB_Orth_BA000037S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Catantopinae,,Opiptacris,,salomona,,"Opiptacris salomona Ramme, 1941",Oceania,Papua New Guinea,Island Buka,,"Island Buka, Papua New Guinea, Oceania",Island Buka,-5.2500000000,154.5833333333,29.08.1909,
ZMB_Orth_BA000037S02,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Catantopinae,,Opiptacris,,salomona,,"Opiptacris salomona Ramme, 1941",Oceania,Papua New Guinea,Island Buka,,"Island Buka, Papua New Guinea, Oceania",Island Buka,-5.2500000000,154.5833333333,29.08.1909,
ZMB_Orth_BA000038S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Catantopinae,,Opiptacris,,bougainvillea,bougainvillea,"Opiptacris bougainvillea bougainvillea Ramme, 1941",Oceania,Papua New Guinea,Bougainville Island,,"Bougainville Island, Papua New Guinea, Oceania",Bougainville Island,-6.0000000000,155.0000000000,29.08.1909,
ZMB_Orth_BA000039S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Oxyinae,Oxyini,Cranaella,,carnipes,,"Cranaella carnipes Ramme, 1941",Asia,Indonesia,Sulawesi Utara,,"Sulawesi Utara, Indonesia, Asia","northern Sulawesi, Ile Ile",0.8000000000,121.5000000000,01.11.1930,31.12.1930
ZMB_Orth_BA000039S02,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Oxyinae,Oxyini,Cranaella,,carnipes,,"Cranaella carnipes Ramme, 1941",Asia,Indonesia,Sulawesi Utara,,"Sulawesi Utara, Indonesia, Asia","northern Sulawesi, Ile Ile",0.8000000000,121.5000000000,01.11.1930,31.12.1930
ZMB_Orth_BA000040S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Oxyinae,Oxyini,Cranaella,,tuberculata,,"Cranaella tuberculata Ramme, 1941",Asia,Philippines,Mindanao,,"Mindanao, Philippines, Asia",Mindanao,8.0000000000,125.0000000000,,
ZMB_Orth_BA000040S02,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Oxyinae,Oxyini,Cranaella,,tuberculata,,"Cranaella tuberculata Ramme, 1941",Asia,Philippines,Siargao Island,,"Siargao Island, Philippines, Asia",Siargao Island,9.8833333333,126.0333333333,,
ZMB_Orth_BA000041S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Oxyinae,Oxyini,Cranaella,,willemsei,,"Cranaella willemsei Ramme, 1941",Asia,Philippines,Mindanao,,"Mindanao, Philippines, Asia",Surigao,9.7500000000,125.5000000000,,
ZMB_Orth_BA000042S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Catantopinae,,Lucretilis,,dohrni,,"Lucretilis dohrni Ramme, 1941",Asia,Indonesia,Sumatera [Sumatra],,"Sumatera [Sumatra], Indonesia, Asia",Soekaranda,,,,
ZMB_Orth_BA000043S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Catantopinae,,Heinrichius,,nobilis,,"Heinrichius nobilis Ramme, 1941",Asia,Indonesia,Sulawesi Tenggara,,"Sulawesi Tenggara, Indonesia, Asia","Pegunungan Mekongga [Mengkoka Mountains], Lalolei near Kolaka",-3.5000000000,121.3333333333,05.12.1931,
ZMB_Orth_BA000043S02,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Catantopinae,,Heinrichius,,nobilis,,"Heinrichius nobilis Ramme, 1941",Asia,Indonesia,Sulawesi Tenggara,,"Sulawesi Tenggara, Indonesia, Asia","Pegunungan Mekongga [Mengkoka Mountains], Lalolei near Kolaka",-3.5000000000,121.3333333333,05.12.1931,
ZMB_Orth_BA000044S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Catantopinae,,Lucretilis,,splendens,,"Lucretilis splendens Willemse, 1938",Asia,Indonesia,Jawa [Java],,"Jawa [Java], Indonesia, Asia",Ploem,,,01.01.1870,31.12.1870
ZMB_Orth_BA000045S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Catantopinae,,Enoplotettix,,gardineri,,"Enoplotettix gardineri (I. Bolivar, 1912)",Africa,Seychelles,,,"Seychelles, Africa",Mahé Island,-4.6666666667,55.4666666667,01.09.1908,30.09.1908
ZMB_Orth_BA000045S02,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Catantopinae,,Enoplotettix,,gardineri,,"Enoplotettix gardineri (I. Bolivar, 1912)",Africa,Seychelles,,,"Seychelles, Africa",Mahé Island,-4.6666666667,55.4666666667,01.09.1908,30.09.1908
ZMB_Orth_BA000046S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Oxyinae,Oxyini,Pseudocranae,,mayri,,"Pseudocranae mayri Ramme, 1941",Asia,Indonesia,Irian Jaya,,"Irian Jaya, Indonesia, Asia","Siwi, Arfak",-1.4833333333,134.0500000000,21.04.1928,25.05.1928
ZMB_Orth_BA000046S02,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Oxyinae,Oxyini,Pseudocranae,,mayri,,"Pseudocranae mayri Ramme, 1941",Asia,Indonesia,Irian Jaya,,"Irian Jaya, Indonesia, Asia","Siwi, Arfak",-1.4833333333,134.0500000000,21.04.1928,25.05.1928
ZMB_Orth_BA000047S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Oxyinae,Oxyini,Pseudocranae,,rammei,,"Pseudocranae rammei Willemse, 1972",Oceania,Papua New Guinea,East Sepik,,"East Sepik, Papua New Guinea, Oceania","Kaiserin Augustafluß Expedition, Standlager am Aprilfluss",-4.4833333333,142.4833333333,27.10.1912,
ZMB_Orth_BA000047S02,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Oxyinae,Oxyini,Pseudocranae,,rammei,,"Pseudocranae rammei Willemse, 1972",Oceania,Papua New Guinea,East Sepik,,"East Sepik, Papua New Guinea, Oceania","Kaiserin Augustafluß Expedition 209, Etappenberg",-4.6166666667,142.1166666667,16.11.1912,18.11.1912
ZMB_Orth_BA000048S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Oxyinae,Oxyini,Pseudocranae,,simplex,,"Pseudocranae simplex Willemse, 1972",Oceania,Papua New Guinea,East Sepik,,"East Sepik, Papua New Guinea, Oceania","Kaiserin Augustafluß Expedition, Mäanderberg",-4.0833333333,141.6500000000,19.07.1913,31.07.1913
ZMB_Orth_BA000049S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Catantopinae,,Tauchiridea,,adusta,laeta,"Tauchiridea adusta laeta Ramme, 1941",Oceania,Papua New Guinea,East Sepik,,"East Sepik, Papua New Guinea, Oceania",Dallmannhafen [= Dagua],-3.4166666667,143.3333333333,01.11.1908,30.11.1908
ZMB_Orth_BA000050S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Catantopinae,,Malua,,burgersi,,"Malua burgersi Ramme, 1941",Oceania,Papua New Guinea,East Sepik,,"East Sepik, Papua New Guinea, Oceania","Kaiserin Augustafluß Expedition 247, Hauptlager bei Malu",-4.2333333333,142.8500000000,27.01.1913,
ZMB_Orth_BA000051S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Catantopinae,,Sphaerocranae,,fasciata,,"Sphaerocranae fasciata Willemse, 1973",Oceania,Papua New Guinea,East Sepik,,"East Sepik, Papua New Guinea, Oceania","Kaiserin Augustafluß Expedition 67, Pionierlager",-4.3166666667,141.9166666667,01.05.1912,30.06.1912
ZMB_Orth_BA000052S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Catantopinae,,Phalaca,,grylloides,grylloides,"Phalaca grylloides grylloides (Walker, 1870)",Asia,Indonesia,Maluku [Moluccas],,"Maluku [Moluccas], Indonesia, Asia","Ceram (Seram) Islands, Ceram Laut Island, Jilo",,,01.01.1884,31.12.1884
ZMB_Orth_BA000053S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Catantopinae,,Phalaca,,grylloides,nigripes,"Phalaca grylloides nigripes Ramme, 1941",,,,,Earth,unknown,,,,
ZMB_Orth_BA000054S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Catantopinae,,Phalaca,,grylloides,buruensis,"Phalaca grylloides buruensis Ramme, 1941",Asia,Indonesia,Maluku [Moluccas],,"Maluku [Moluccas], Indonesia, Asia",Buru Island,-3.4000000000,126.6666666667,,
ZMB_Orth_BA000054S02,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Catantopinae,,Phalaca,,grylloides,buruensis,"Phalaca grylloides buruensis Ramme, 1941",Asia,Indonesia,Maluku [Moluccas],,"Maluku [Moluccas], Indonesia, Asia",Buru Island,-3.4000000000,126.6666666667,,
ZMB_Orth_BA000055S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Catantopinae,,Phalaca,,borneensis,,"Phalaca borneensis Ramme, 1941",Asia,Malaysia,Sabah,,"Sabah, Malaysia, Asia",North Borneo,,,,
ZMB_Orth_BA000056S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Catantopinae,,Phalaca,,waterstradti,,"Phalaca waterstradti Ramme, 1941",Asia,Malaysia,Sabah,,"Sabah, Malaysia, Asia",North Borneo,,,,
ZMB_Orth_BA000057S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Catantopinae,,Phalaca,,atrata,,"Phalaca atrata Willemse, 1938",Asia,Philippines,Bucas Island,,"Bucas Island, Philippines, Asia",Bucas Island,9.6666666667,125.9500000000,,
ZMB_Orth_BA000058S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Catantopinae,,Phalaca,,nobilis,,"Phalaca nobilis Ramme, 1941",Asia,Philippines,Mindanao,,"Mindanao, Philippines, Asia",Mindanao,8.0000000000,125.0000000000,,
ZMB_Orth_BA000059S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Catantopinae,,Phalaca,,ikonnikovi,,"Phalaca ikonnikovi Ramme, 1941",Asia,Philippines,Luzon,,"Luzon, Philippines, Asia",Los Baños,,,15.05.1917,
ZMB_Orth_BA000061S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Catantopinae,,Phalaca,,uniformis,,"Phalaca uniformis Ramme, 1941",Asia,Philippines,Mindoro Island,,"Mindoro Island, Philippines, Asia",Mindoro Island,12.8333333333,121.0833333333,,
ZMB_Orth_BA000061S02,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Catantopinae,,Phalaca,,uniformis,,"Phalaca uniformis Ramme, 1941",Asia,Philippines,Mindoro Island,,"Mindoro Island, Philippines, Asia",Mindoro Island,12.8333333333,121.0833333333,,
ZMB_Orth_BA000062S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Catantopinae,,Craneopsis,,olivacea,,"Craneopsis olivacea Ramme, 1941",Asia,?,Borneo,,"Borneo, ?, Asia",Borneo,,,,
ZMB_Orth_BA000063S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Proctolabinae,Proctolabini,Cercoceracris,,albovittata,,"Cercoceracris albovittata Descamps, 1976",South America,Brazil,Amazonas,,"Amazonas, Brazil, South America",Fonteboa,,,,
ZMB_Orth_BA000064S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Romaleidae,Bactrophorinae,Taeniophorini,Megacephalacris,,pugnax,cordobae,"Megacephalacris pugnax cordobae Descamps & Amedegnato, 1971",South America,Colombia,Dept. Cordoba,,"Dept. Cordoba, Colombia, South America",Hacienda El Torno de Matamoros betw. Monteira and Tierra Alta,,,05.01.1968,
